key_id,goal_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
65,G-0065,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,7/30/1930,final,not applicable,T-81,Uruguay,URY,1,0,P-07505,Dorado,Pablo,0,T-81,Uruguay,URY,12',12,0,first half,0,0
66,G-0066,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,7/30/1930,final,not applicable,T-03,Argentina,ARG,0,1,P-07580,Peucelle,Carlos,0,T-03,Argentina,ARG,20',20,0,first half,0,0
67,G-0067,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,7/30/1930,final,not applicable,T-03,Argentina,ARG,0,1,P-01708,Stábile,Guillermo,0,T-03,Argentina,ARG,37',37,0,first half,0,0
68,G-0068,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,7/30/1930,final,not applicable,T-81,Uruguay,URY,1,0,P-06624,Cea,Pedro,0,T-81,Uruguay,URY,57',57,0,second half,0,0
69,G-0069,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,7/30/1930,final,not applicable,T-81,Uruguay,URY,1,0,P-03110,Iriarte,Santos,0,T-81,Uruguay,URY,68',68,0,second half,0,0
70,G-0070,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,7/30/1930,final,not applicable,T-81,Uruguay,URY,1,0,P-04699,Castro,Héctor,0,T-81,Uruguay,URY,89',89,0,second half,0,0
138,G-0138,WC-1934,1934 FIFA World Cup,M-1934-17,Italy v Czechoslovakia,6/10/1934,final,not applicable,T-20,Czechoslovakia,CSK,0,1,P-09763,Pu?,Antonín,0,T-20,Czechoslovakia,CSK,71',71,0,second half,0,0
139,G-0139,WC-1934,1934 FIFA World Cup,M-1934-17,Italy v Czechoslovakia,6/10/1934,final,not applicable,T-39,Italy,ITA,1,0,P-04792,Orsi,Raimundo,0,T-39,Italy,ITA,81',81,0,second half,0,0
140,G-0140,WC-1934,1934 FIFA World Cup,M-1934-17,Italy v Czechoslovakia,6/10/1934,final,not applicable,T-39,Italy,ITA,1,0,P-07470,Schiavio,Angelo,0,T-39,Italy,ITA,95',95,0,"extra time, first half",0,0
219,G-0219,WC-1938,1938 FIFA World Cup,M-1938-18,Italy v Hungary,6/19/1938,final,not applicable,T-39,Italy,ITA,1,0,P-02808,Colaussi,Gino,0,T-39,Italy,ITA,6',6,0,first half,0,0
220,G-0220,WC-1938,1938 FIFA World Cup,M-1938-18,Italy v Hungary,6/19/1938,final,not applicable,T-34,Hungary,HUN,0,1,P-04518,Titkos,Pál,0,T-34,Hungary,HUN,8',8,0,first half,0,0
221,G-0221,WC-1938,1938 FIFA World Cup,M-1938-18,Italy v Hungary,6/19/1938,final,not applicable,T-39,Italy,ITA,1,0,P-01559,Piola,Silvio,0,T-39,Italy,ITA,16',16,0,first half,0,0
222,G-0222,WC-1938,1938 FIFA World Cup,M-1938-18,Italy v Hungary,6/19/1938,final,not applicable,T-39,Italy,ITA,1,0,P-02808,Colaussi,Gino,0,T-39,Italy,ITA,35',35,0,first half,0,0
223,G-0223,WC-1938,1938 FIFA World Cup,M-1938-18,Italy v Hungary,6/19/1938,final,not applicable,T-34,Hungary,HUN,0,1,P-06711,Sárosi,György,0,T-34,Hungary,HUN,70',70,0,second half,0,0
224,G-0224,WC-1938,1938 FIFA World Cup,M-1938-18,Italy v Hungary,6/19/1938,final,not applicable,T-39,Italy,ITA,1,0,P-01559,Piola,Silvio,0,T-39,Italy,ITA,82',82,0,second half,0,0
282,G-0282,WC-1950,1950 FIFA World Cup,M-1950-17,Brazil v Sweden,7/9/1950,final round,not applicable,T-09,Brazil,BRA,1,0,P-03149,Ademir,not applicable,0,T-09,Brazil,BRA,17',17,0,first half,0,0
