municipality,community_type,2021,2022,pct_change
Abington,Developing Suburbs,349000,400000,14.60
Acton,Maturing Suburbs,370000,376000,1.60
Amesbury,Regional Urban Centers,340000,360500,6.00
Andover,Developing Suburbs,374995,455000,21.30
Arlington,Streetcar Suburbs,695000,812500,16.90
Ashland,Maturing Suburbs,421500,540000,28.10
Ayer,Developing Suburbs,410000,415000,1.20
Bedford,Maturing Suburbs,624900,799900,28.00
Bellingham,Developing Suburbs,367500,380750,3.60
Belmont,Streetcar Suburbs,780000,805000,3.20
Beverly,Regional Urban Centers,355000,410000,15.50
Billerica,Maturing Suburbs,275000,430100,56.40
Boston,Metro Core Communities,872000,999900,14.70
Boxborough,Developing Suburbs,159000,203000,27.70
Braintree,Maturing Suburbs,377500,430000,13.90
Bridgewater,Developing Suburbs,325000,221727,-31.80
Brockton,Regional Urban Centers,205000,220000,7.30
Brookline,Streetcar Suburbs,850000,877500,3.20
Burlington,Maturing Suburbs,550000,650000,18.20
Cambridge,Metro Core Communities,802000,900000,12.20
Canton,Maturing Suburbs,439950,525000,19.30
Carver,Developing Suburbs,429000,459000,7.00
Chelmsford,Maturing Suburbs,294950,422000,43.10
Chelsea,Metro Core Communities,425000,420000,-1.20
Cohasset,Developing Suburbs,700813,985000,40.60
Concord,Maturing Suburbs,627000,909000,45.00
Danvers,Maturing Suburbs,415000,420000,1.20
Dedham,Maturing Suburbs,519900,460000,-11.50
Dracut,Developing Suburbs,249500,310000,24.20
Duxbury,Maturing Suburbs,475000,550000,-34.00
East Bridgewater,Developing Suburbs,350000,376000,7.40
Essex,Developing Suburbs,585000,742500,-34.00
Everett,Metro Core Communities,440000,426000,-3.20
Foxborough,Developing Suburbs,480000,547500,14.10
Framingham,Regional Urban Centers,247450,269300,8.80
Franklin,Developing Suburbs,360000,402500,11.80
Georgetown,Developing Suburbs,364000,702000,-34.00
Gloucester,Regional Urban Centers,440000,429000,-2.50
Groton,Developing Suburbs,375000,390000,4.00
Groveland,Maturing Suburbs,257000,493250,-34.00
Halifax,Developing Suburbs,278000,334500,-34.00
Hamilton,Developing Suburbs,831017,964000,-34.00
Hanover,Developing Suburbs,532000,576830,-34.00
Hanson,Developing Suburbs,459950,500000,8.70
Haverhill,Regional Urban Centers,285000,338000,18.60
Hingham,Maturing Suburbs,849000,685000,-19.30
Holliston,Developing Suburbs,232500,513000,120.60
Hopkinton,Developing Suburbs,639000,773000,21.00
Hudson,Developing Suburbs,357500,410000,14.70
Hull,Maturing Suburbs,390000,450000,15.40
Ipswich,Developing Suburbs,412450,520000,26.10
Kingston,Developing Suburbs,332000,495000,-34.00
Lakeville,Developing Suburbs,418500,486373,16.20
Lawrence,Regional Urban Centers,182750,240000,31.30
Lexington,Maturing Suburbs,672500,860000,27.90
Lincoln,Maturing Suburbs,462000,502500,8.80
Lowell,Regional Urban Centers,270000,280000,3.70
Lynn,Regional Urban Centers,288000,338500,17.50
Lynnfield,Maturing Suburbs,695000,1290000,-34.00
Malden,Metro Core Communities,385500,407000,5.60
Manchester,Developing Suburbs,740000,665000,-34.00
Marblehead,Maturing Suburbs,415000,518250,24.90
Marlborough,Regional Urban Centers,310000,279000,-10.00
Marshfield,Maturing Suburbs,235000,265200,12.90
Maynard,Maturing Suburbs,348500,418250,20.00
Medfield,Maturing Suburbs,615000,612950,-0.30
Medford,Streetcar Suburbs,580000,615900,6.20
Medway,Developing Suburbs,331500,339000,2.30
Melrose,Streetcar Suburbs,466500,450000,-3.50
Merrimac,Developing Suburbs,429900,445000,-34.00
Methuen,Regional Urban Centers,288000,344000,19.40
Middleborough,Developing Suburbs,312900,420000,-34.00
Middleton,Developing Suburbs,485000,844698,74.20
Millis,Developing Suburbs,654065,635000,-2.90
Milton,Maturing Suburbs,762500,710313,-6.80
Natick,Maturing Suburbs,490000,632500,29.10
Needham,Maturing Suburbs,739500,807500,9.20
Newburyport,Regional Urban Centers,499950,577000,15.40
Newton,Streetcar Suburbs,780000,905000,16.00
Norfolk,Developing Suburbs,583620,675708,15.80
North Andover,Developing Suburbs,300000,325000,8.30
North Reading,Maturing Suburbs,354648,417000,17.60
Norwell,Developing Suburbs,314750,880000,-34.00
Norwood,Regional Urban Centers,425000,430000,1.20
Peabody,Regional Urban Centers,375000,403000,7.50
Pembroke,Maturing Suburbs,345500,399500,15.60
Pepperell,Developing Suburbs,292000,371950,-34.00
Plainville,Developing Suburbs,320000,375000,17.20
Plymouth,Developing Suburbs,392500,479000,22.00
Quincy,Regional Urban Centers,480000,430000,-10.40
Randolph,Maturing Suburbs,215500,300000,39.20
Reading,Maturing Suburbs,525000,629000,19.80
Revere,Metro Core Communities,422000,445000,5.50
Rockland,Developing Suburbs,333000,385000,15.60
Rockport,Developing Suburbs,438000,503750,15.00
Rowley,Developing Suburbs,260000,549000,-34.00
Salem,Regional Urban Centers,407500,438000,7.50
Salisbury,Developing Suburbs,427500,444950,4.10
Saugus,Maturing Suburbs,350000,463000,32.30
Scituate,Maturing Suburbs,733037,712413,-2.80
Sharon,Maturing Suburbs,460000,690000,50.00
Sherborn,Developing Suburbs,646812,550000,-34
Shirley,Developing Suburbs,211500,325000,-34.00
Somerville,Metro Core Communities,774950,842500,8.70
Stoneham,Maturing Suburbs,352500,390000,10.60
Stoughton,Maturing Suburbs,330000,375500,13.80
Stow,Developing Suburbs,522500,590250,-34.00
Sudbury,Maturing Suburbs,625000,773933,23.80
Swampscott,Maturing Suburbs,403000,489000,21.30
Tewksbury,Maturing Suburbs,397950,449950,13.10
Townsend,Developing Suburbs,235000,100000,-34.00
Tyngsborough,Developing Suburbs,315000,349250,10.90
Wakefield,Maturing Suburbs,462500,518500,12.10
Walpole,Developing Suburbs,419920,465000,10.70
Waltham,Streetcar Suburbs,525000,550000,4.80
Wareham,Developing Suburbs,295000,352500,19.50
Watertown,Streetcar Suburbs,589950,661250,12.10
Wayland,Maturing Suburbs,700000,807500,15.40
Wellesley,Maturing Suburbs,793500,1020000,28.50
Wenham,Developing Suburbs,542500,518862,-34.00
Westford,Developing Suburbs,415000,570000,37.30
Weston,Maturing Suburbs,700000,711000,-34.00
Westwood,Maturing Suburbs,725000,1156035,59.50
Weymouth,Maturing Suburbs,306750,345000,12.50
Whitman,Developing Suburbs,339900,410000,20.60
Wilmington,Maturing Suburbs,477000,635000,-34.00
Winchester,Maturing Suburbs,650000,765000,17.70
Winthrop,Streetcar Suburbs,465000,505000,8.60
Woburn,Regional Urban Centers,480000,525000,9.40
Wrentham,Developing Suburbs,413000,748372,81.20
