municipality,community_type,year_one,year_two,pct_change
Ashby,Rural Towns,350000,370250,5.8
Townsend,Developing Suburbs,378000,400000,5.8
Wareham,Developing Suburbs,347500,404000,16.3
Lawrence,Regional Urban Centers,360000,413000,14.7
Brockton,Regional Urban Centers,377500,430000,13.9
Bellingham,Developing Suburbs,385000,435000,13.0
Lowell,Regional Urban Centers,415000,439000,5.8
Shirley,Developing Suburbs,422500,465000,10.1
Middleborough,Developing Suburbs,425000,472450,11.2
Holbrook,Maturing Suburbs,415500,475000,14.3
Halifax,Developing Suburbs,450000,475000,5.6
Avon,Maturing Suburbs,465000,475000,2.2
Rockland,Developing Suburbs,440000,480000,9.1
Whitman,Developing Suburbs,425000,481500,13.3
Carver,Developing Suburbs,410000,485000,18.3
West Bridgewater,Developing Suburbs,450000,488000,8.4
Haverhill,Regional Urban Centers,435000,490000,12.6
East Bridgewater,Developing Suburbs,450000,490000,8.9
Pepperell,Developing Suburbs,469950,490000,4.3
Dracut,Developing Suburbs,450000,491750,9.3
Hanson,Developing Suburbs,480000,497450,3.6
Methuen,Regional Urban Centers,445000,500000,12.4
Marlborough,Regional Urban Centers,480000,500000,4.2
Lynn,Regional Urban Centers,450000,510000,13.3
Plainville,Developing Suburbs,450500,513500,14.0
Lakeville,Developing Suburbs,430000,515500,19.9
Salisbury,Developing Suburbs,500000,517500,3.5
Randolph,Maturing Suburbs,450000,520000,15.6
Ayer,Developing Suburbs,418000,521500,24.8
Groveland,Maturing Suburbs,615000,521500,-15.2
Maynard,Maturing Suburbs,462500,525000,13.5
Plympton,Developing Suburbs,487500,525000,7.7
Pembroke,Maturing Suburbs,464000,530000,14.2
Bridgewater,Developing Suburbs,480000,535500,11.6
Kingston,Developing Suburbs,535000,537500,0.5
Stoughton,Maturing Suburbs,495000,540000,9.1
Plymouth,Developing Suburbs,461000,544000,18.0
Hudson,Developing Suburbs,470000,550000,17.0
Abington,Developing Suburbs,433000,550000,27.0
Marion,Developing Suburbs,607500,550000,-9.5
Rochester,Developing Suburbs,583450,555000,-4.9
Amesbury,Regional Urban Centers,481000,556319,15.7
Weymouth,Maturing Suburbs,511000,560000,9.6
Hull,Maturing Suburbs,575000,566000,-1.6
Tyngsborough,Developing Suburbs,543000,566750,4.4
Revere,Metro Core Communities,525000,577450,10.0
Wrentham,Developing Suburbs,600000,580000,-3.3
Peabody,Regional Urban Centers,562500,590000,4.9
Millis,Developing Suburbs,555000,592000,6.7
Gloucester,Regional Urban Centers,562500,594500,5.7
Salem,Regional Urban Centers,529000,600000,13.4
Mattapoisett,Developing Suburbs,620000,600000,-3.2
Saugus,Maturing Suburbs,540000,603000,11.7
Everett,Metro Core Communities,537000,604250,12.5
Chelsea,Metro Core Communities,476500,606500,27.3
Tewksbury,Maturing Suburbs,561550,610000,8.6
Foxborough,Developing Suburbs,545000,610000,11.9
Framingham,Regional Urban Centers,564250,612500,8.6
Beverly,Regional Urban Centers,625000,620000,-0.8
Billerica,Maturing Suburbs,543995,620000,14.0
Merrimac,Developing Suburbs,514950,620000,20.4
Littleton,Developing Suburbs,515000,622500,20.9
Danvers,Maturing Suburbs,615000,623700,1.4
Franklin,Developing Suburbs,581000,625000,7.6
Ashland,Maturing Suburbs,545000,625000,14.7
Georgetown,Developing Suburbs,552500,625000,13.1
Malden,Metro Core Communities,580000,630000,8.6
Braintree,Maturing Suburbs,615000,630000,2.4
Quincy,Regional Urban Centers,605000,640000,5.8
Chelmsford,Maturing Suburbs,551000,640000,16.2
Marshfield,Maturing Suburbs,585000,646500,10.5
Holliston,Developing Suburbs,630000,650000,3.2
Ipswich,Developing Suburbs,747500,657500,-12.0
Rockport,Developing Suburbs,837500,660000,-21.2
Woburn,Regional Urban Centers,600000,662000,10.3
Medway,Developing Suburbs,532500,665000,24.9
Norwood,Regional Urban Centers,600000,670000,11.7
Walpole,Developing Suburbs,600000,670000,11.7
Essex,Developing Suburbs,625750,670000,7.1
Dunstable,Developing Suburbs,617500,690000,11.7
Winthrop,Streetcar Suburbs,629000,694900,10.5
Wilmington,Maturing Suburbs,589850,700000,18.7
Hanover,Developing Suburbs,655000,700000,6.9
Rowley,Developing Suburbs,708500,700000,-1.2
Middleton,Developing Suburbs,730000,706000,-3.3
Dedham,Maturing Suburbs,626500,710000,13.3
Stoneham,Maturing Suburbs,635000,720000,13.4
Wakefield,Maturing Suburbs,648750,725000,11.8
Waltham,Streetcar Suburbs,700000,735000,5.0
Burlington,Maturing Suburbs,682000,735000,7.8
West Newbury,Developing Suburbs,810000,740000,-8.6
Westford,Developing Suburbs,710000,750000,5.6
Groton,Developing Suburbs,630000,750000,19.0
North Reading,Maturing Suburbs,657500,758500,15.4
Canton,Maturing Suburbs,727500,760000,4.5
Norfolk,Developing Suburbs,690000,764500,10.8
Sharon,Maturing Suburbs,700000,765000,9.3
Topsfield,Developing Suburbs,795000,780000,-1.9
Swampscott,Maturing Suburbs,690000,797500,15.6
Watertown,Streetcar Suburbs,790000,802500,1.6
Marblehead,Maturing Suburbs,820500,810000,-1.3
Newburyport,Regional Urban Centers,750000,815000,8.7
Medford,Streetcar Suburbs,728050,832500,14.3
Stow,Developing Suburbs,669000,833000,24.5
Natick,Maturing Suburbs,736500,843000,14.5
Newbury,Developing Suburbs,809250,848000,4.8
North Andover,Developing Suburbs,744000,850000,14.2
Melrose,Streetcar Suburbs,775000,850000,9.7
Reading,Maturing Suburbs,725000,853000,17.7
Scituate,Maturing Suburbs,735000,862500,17.3
Hamilton,Developing Suburbs,788200,867500,10.1
Wenham,Developing Suburbs,915000,870000,-4.9
Milton,Maturing Suburbs,870000,887500,2.0
Norwell,Developing Suburbs,797500,900000,12.9
Duxbury,Maturing Suburbs,856000,907500,6.0
Acton,Maturing Suburbs,752500,912000,21.2
Bedford,Maturing Suburbs,835000,950000,13.8
Wayland,Maturing Suburbs,950000,950000,0.0
Hopkinton,Developing Suburbs,795000,970000,22.0
Andover,Developing Suburbs,840000,977500,16.4
Boxford,Developing Suburbs,890000,977500,9.8
Lynnfield,Maturing Suburbs,825000,1000000,21.2
Boxborough,Developing Suburbs,925000,1012600,9.5
Nahant,Maturing Suburbs,805000,1030000,28.0
Medfield,Maturing Suburbs,835000,1055000,26.3
Manchester,Developing Suburbs,1162500,1100000,-5.4
Westwood,Maturing Suburbs,1015000,1138000,12.1
Arlington,Streetcar Suburbs,949500,1156000,21.7
Somerville,Metro Core Communities,831125,1200000,44.4
Sudbury,Maturing Suburbs,1009000,1205006,19.4
Hingham,Maturing Suburbs,1081000,1257500,16.3
Sherborn,Developing Suburbs,955000,1275000,33.5
Cohasset,Developing Suburbs,1352500,1300000,-3.9
Carlisle,Developing Suburbs,1090000,1313000,20.5
