Municipality,Communities Type,"Median Sale Price, Jan - June 2021","Median Sale Price, Jan - June 2022",% Change,Notes
Boston,Metro Core Communities,3462500 ,4400000 ,27.1%,
Cambridge,Metro Core Communities,1537500 ,1775000 ,15.4%,
Lowell,Regional Urban Centers,415000 ,439000 ,5.8%,
Brockton,Regional Urban Centers,377500 ,430000 ,13.9%,
Quincy,Regional Urban Centers,605000 ,640000 ,5.8%,
Lynn,Regional Urban Centers,450000 ,510000 ,13.3%,
Lawrence,Regional Urban Centers,360000 ,413000 ,14.7%,
Newton,Streetcar Suburbs,1490000 ,1600000 ,7.4%,
Somerville,Metro Core Communities,831125 ,1200000 ,44.4%,
Framingham,Regional Urban Centers,564250 ,612500 ,8.6%,
Haverhill,Regional Urban Centers,435000 ,490000 ,12.6%,
Malden,Metro Core Communities,580000 ,630000 ,8.6%,
Waltham,Streetcar Suburbs,700000 ,735000 ,5.0%,
Brookline,Streetcar Suburbs,1850000 ,2542000 ,37.4%,
Plymouth,Developing Suburbs,461000 ,544000 ,18.0%,
Medford,Streetcar Suburbs,728050 ,832500 ,14.3%,
Revere,Metro Core Communities,525000 ,577450 ,10.0%,
Weymouth,Maturing Suburbs,511000 ,560000 ,9.6%,
Peabody,Regional Urban Centers,562500 ,590000 ,4.9%,
Methuen,Regional Urban Centers,445000 ,500000 ,12.4%,
Everett,Metro Core Communities,537000 ,604250 ,12.5%,
Arlington,Streetcar Suburbs,949500 ,1156000 ,21.7%,
Salem,Regional Urban Centers,529000 ,600000 ,13.4%,
Beverly,Regional Urban Centers,625000 ,620000 ,-0.8%,
Billerica,Maturing Suburbs,543995 ,620000 ,14.0%,
Marlborough,Regional Urban Centers,480000 ,500000 ,4.2%,
Woburn,Regional Urban Centers,600000 ,662000 ,10.3%,
Chelsea,Metro Core Communities,476500 ,606500 ,27.3%,
Braintree,Maturing Suburbs,615000 ,630000 ,2.4%,
Andover,Developing Suburbs,840000 ,977500 ,16.4%,
Natick,Maturing Suburbs,736500 ,843000 ,14.5%,
Chelmsford,Maturing Suburbs,551000 ,640000 ,16.2%,
Watertown,Streetcar Suburbs,790000 ,802500 ,1.6%,
Randolph,Maturing Suburbs,450000 ,520000 ,15.6%,
Lexington,Maturing Suburbs,1500000 ,1600000 ,6.7%,
Franklin,Developing Suburbs,581000 ,625000 ,7.6%,
Dracut,Developing Suburbs,450000 ,491750 ,9.3%,
Needham,Maturing Suburbs,1230000 ,1450000 ,17.9%,
Norwood,Regional Urban Centers,600000 ,670000 ,11.7%,
Tewksbury,Maturing Suburbs,561550 ,610000 ,8.6%,
North Andover,Developing Suburbs,744000 ,850000 ,14.2%,
Wellesley,Maturing Suburbs,1665000 ,2055000 ,23.4%,
Gloucester,Regional Urban Centers,562500 ,594500 ,5.7%,
Melrose,Streetcar Suburbs,775000 ,850000 ,9.7%,
Stoughton,Maturing Suburbs,495000 ,540000 ,9.1%,
Bridgewater,Developing Suburbs,480000 ,535500 ,11.6%,
Saugus,Maturing Suburbs,540000 ,603000 ,11.7%,
Milton,Maturing Suburbs,870000 ,887500 ,2.0%,
Danvers,Maturing Suburbs,615000 ,623700 ,1.4%,
Wakefield,Maturing Suburbs,648750 ,725000 ,11.8%,
Belmont,Streetcar Suburbs,1441500 ,1575900 ,9.3%,
Walpole,Developing Suburbs,600000 ,670000 ,11.7%,
